order,environment,trial,rep,row,column,variety,varietyname,plantnum,yield
1,ChokweIrrigado,1,1,1,1,1,UC-CB46,66,3404.4
2,ChokweIrrigado,1,1,1,2,2,IT69KD-901,97,640
3,ChokweIrrigado,1,1,1,3,3,INIA-73,77,2515.6
4,ChokweIrrigado,1,1,2,3,4,UC-CB27,83,2844.4
5,ChokweIrrigado,1,1,2,2,5,IT-18,112,3040
6,ChokweIrrigado,1,1,2,1,6,IT98K-1105-5,106,2968.9
7,ChokweIrrigado,1,1,3,1,7,IT00K-96,127,3164.4
8,ChokweIrrigado,1,1,3,2,8,INIA-41,70,2960
9,ChokweIrrigado,1,1,3,3,9,IT97K-284-4,128,3377.8
10,ChokweIrrigado,1,1,4,3,10,IT-16,96,3137.8
11,ChokweIrrigado,1,1,4,2,11,IT98K-1111-1,61,2160
12,ChokweIrrigado,1,1,4,1,12,INIA-152,107,4026.7
13,ChokweIrrigado,1,2,1,1,7,IT00K-96,107,4151.1
14,ChokweIrrigado,1,2,1,2,1,UC-CB46,101,3537.8
15,ChokweIrrigado,1,2,1,3,8,INIA-41,95,2880
16,ChokweIrrigado,1,2,2,3,9,IT97K-284-4,141,2408.9
17,ChokweIrrigado,1,2,2,2,10,IT-16,100,2835.6
18,ChokweIrrigado,1,2,2,1,3,INIA-73,104,3368.9
19,ChokweIrrigado,1,2,3,1,12,INIA-152,121,3617.8
20,ChokweIrrigado,1,2,3,2,11,IT98K-1111-1,44,2177.8
21,ChokweIrrigado,1,2,3,3,6,IT98K-1105-5,104,2826.7
22,ChokweIrrigado,1,2,4,3,4,UC-CB27,104,2231.1
23,ChokweIrrigado,1,2,4,2,2,IT69KD-901,20,800
24,ChokweIrrigado,1,2,4,1,5,IT-18,81,4124.4
25,ChokweIrrigado,1,3,1,1,9,IT97K-284-4,88,3182.2
26,ChokweIrrigado,1,3,1,2,2,IT69KD-901,22,808.9
27,ChokweIrrigado,1,3,1,3,8,INIA-41,77,3164.4
28,ChokweIrrigado,1,3,2,3,11,IT98K-1111-1,79,1937.8
29,ChokweIrrigado,1,3,2,2,12,INIA-152,102,3413.3
30,ChokweIrrigado,1,3,2,1,4,UC-CB27,96,2568.9
31,ChokweIrrigado,1,3,3,1,5,IT-18,97,2408.9
32,ChokweIrrigado,1,3,3,2,7,IT00K-96,79,1146.7
33,ChokweIrrigado,1,3,3,3,1,UC-CB46,90,3537.8
34,ChokweIrrigado,1,3,4,3,10,IT-16,105,2675.6
35,ChokweIrrigado,1,3,4,2,6,IT98K-1105-5,97,3368.9
36,ChokweIrrigado,1,3,4,1,3,INIA-73,104,1991.1
37,ChokweIrrigado,1,4,1,1,6,IT98K-1105-5,106,3137.8
38,ChokweIrrigado,1,4,1,2,9,IT97K-284-4,89,2915.6
39,ChokweIrrigado,1,4,1,3,1,UC-CB46,105,4026.7
40,ChokweIrrigado,1,4,2,3,4,UC-CB27,110,2106.7
41,ChokweIrrigado,1,4,2,2,8,INIA-41,95,2133.3
42,ChokweIrrigado,1,4,2,1,10,IT-16,95,2311.1
43,ChokweIrrigado,1,4,3,1,11,IT98K-1111-1,66,1564.4
44,ChokweIrrigado,1,4,3,2,3,INIA-73,85,1635.6
45,ChokweIrrigado,1,4,3,3,7,IT00K-96,99,2568.9
46,ChokweIrrigado,1,4,4,3,5,IT-18,116,2506.7
47,ChokweIrrigado,1,4,4,2,12,INIA-152,97,2266.7
48,ChokweIrrigado,1,4,4,1,2,IT69KD-901,24,364.4
49,ChokweStressado,2,1,1,1,5,IT-18,81,2960
50,ChokweStressado,2,1,1,2,1,UC-CB46,89,3022.2
51,ChokweStressado,2,1,1,3,2,IT69KD-901,11,524.4
52,ChokweStressado,2,1,2,3,12,INIA-152,100,4426.7
53,ChokweStressado,2,1,2,2,3,INIA-73,89,2648.9
54,ChokweStressado,2,1,2,1,4,UC-CB27,102,2302.2
55,ChokweStressado,2,1,3,1,8,INIA-41,88,2586.7
56,ChokweStressado,2,1,3,2,6,IT98K-1105-5,83,3084.4
57,ChokweStressado,2,1,3,3,10,IT-16,87,2915.6
58,ChokweStressado,2,1,4,3,7,IT00K-96,116,3644.4
59,ChokweStressado,2,1,4,2,11,IT98K-1111-1,60,2524.4
60,ChokweStressado,2,1,4,1,9,IT97K-284-4,81,2915.6
61,ChokweStressado,2,2,1,1,6,IT98K-1105-5,90,3075.6
62,ChokweStressado,2,2,1,2,4,UC-CB27,86,2435.6
63,ChokweStressado,2,2,1,3,8,INIA-41,64,2942.2
64,ChokweStressado,2,2,2,3,9,IT97K-284-4,88,3093.3
65,ChokweStressado,2,2,2,2,7,IT00K-96,110,2844.4
66,ChokweStressado,2,2,2,1,5,IT-18,88,3520
67,ChokweStressado,2,2,3,1,10,IT-16,101,2791.1
68,ChokweStressado,2,2,3,2,11,IT98K-1111-1,58,2142.2
69,ChokweStressado,2,2,3,3,1,UC-CB46,87,4168.9
70,ChokweStressado,2,2,4,3,12,INIA-152,83,3528.9
71,ChokweStressado,2,2,4,2,3,INIA-73,72,2906.7
72,ChokweStressado,2,2,4,1,2,IT69KD-901,11,408.9
73,ChokweStressado,2,3,1,1,6,IT98K-1105-5,110,3742.2
74,ChokweStressado,2,3,1,2,1,UC-CB46,103,3688.9
75,ChokweStressado,2,3,1,3,7,IT00K-96,113,3955.6
76,ChokweStressado,2,3,2,3,8,INIA-41,81,1804.4
77,ChokweStressado,2,3,2,2,11,IT98K-1111-1,64,2106.7
78,ChokweStressado,2,3,2,1,10,IT-16,115,3413.3
79,ChokweStressado,2,3,3,1,3,INIA-73,69,2720
80,ChokweStressado,2,3,3,2,4,UC-CB27,86,2728.9
81,ChokweStressado,2,3,3,3,9,IT97K-284-4,74,2506.7
82,ChokweStressado,2,3,4,3,5,IT-18,84,3084.4
83,ChokweStressado,2,3,4,2,2,IT69KD-901,76,533.3
84,ChokweStressado,2,3,4,1,12,INIA-152,104,3200
85,ChokweStressado,2,4,1,1,1,UC-CB46,104,3644.4
86,ChokweStressado,2,4,1,2,3,INIA-73,76,2133.3
87,ChokweStressado,2,4,1,3,6,IT98K-1105-5,92,3528.9
88,ChokweStressado,2,4,2,3,5,IT-18,95,3253.3
89,ChokweStressado,2,4,2,2,12,INIA-152,110,2506.7
90,ChokweStressado,2,4,2,1,11,IT98K-1111-1,59,2124.4
91,ChokweStressado,2,4,3,1,4,UC-CB27,89,2373.3
92,ChokweStressado,2,4,3,2,8,INIA-41,53,1591.1
93,ChokweStressado,2,4,3,3,7,IT00K-96,91,2977.8
94,ChokweStressado,2,4,4,3,10,IT-16,96,1751.1
95,ChokweStressado,2,4,4,2,2,IT69KD-901,6,78.2
96,ChokweStressado,2,4,4,1,9,IT97K-284-4,102,2924.4
97,UmbeluziIrrigado,3,1,1,1,5,IT-18,33,1440
98,UmbeluziIrrigado,3,1,1,2,6,IT98K-1105-5,63,2408.9
99,UmbeluziIrrigado,3,1,1,3,2,IT69KD-901,20,746.7
100,UmbeluziIrrigado,3,1,2,3,8,INIA-41,57,1333.3
101,UmbeluziIrrigado,3,1,2,2,9,IT97K-284-4,26,1333.3
102,UmbeluziIrrigado,3,1,2,1,12,INIA-152,60,2648.9
103,UmbeluziIrrigado,3,1,3,1,10,IT-16,69,1795.6
104,UmbeluziIrrigado,3,1,3,2,11,IT98K-1111-1,43,2017.8
105,UmbeluziIrrigado,3,1,3,3,1,UC-CB46,60,2542.2
106,UmbeluziIrrigado,3,1,4,3,3,INIA-73,38,1680
107,UmbeluziIrrigado,3,1,4,2,4,UC-CB27,45,1351.1
108,UmbeluziIrrigado,3,1,4,1,7,IT00K-96,15,1671.1
109,UmbeluziIrrigado,3,2,1,1,10,IT-16,65,2248.9
110,UmbeluziIrrigado,3,2,1,2,5,IT-18,19,1057.8
111,UmbeluziIrrigado,3,2,1,3,11,IT98K-1111-1,49,1964.4
112,UmbeluziIrrigado,3,2,2,3,6,IT98K-1105-5,50,2613.3
113,UmbeluziIrrigado,3,2,2,2,4,UC-CB27,49,2000
114,UmbeluziIrrigado,3,2,2,1,12,INIA-152,69,2631.1
115,UmbeluziIrrigado,3,2,3,1,7,IT00K-96,23,1395.6
116,UmbeluziIrrigado,3,2,3,2,2,IT69KD-901,20,1742.2
117,UmbeluziIrrigado,3,2,3,3,3,INIA-73,43,1724.4
118,UmbeluziIrrigado,3,2,4,3,9,IT97K-284-4,28,817.8
119,UmbeluziIrrigado,3,2,4,2,1,UC-CB46,51,2071.1
